Week Start Date,Category,Value
2022-04-25,confirmed_rate,9.903997795313776
2022-05-02,confirmed_rate,12.117180436136405
2022-05-09,confirmed_rate,15.6379104755218
2022-05-16,confirmed_rate,18.820074135495695
2022-05-23,confirmed_rate,17.98426044901006
2022-05-30,confirmed_rate,18.19245917459625
2022-06-06,confirmed_rate,18.640821654615063
2022-06-13,confirmed_rate,16.61964829217156
2022-06-20,confirmed_rate,18.798918301476235
2022-06-27,confirmed_rate,18.137974989860297
2022-07-04,confirmed_rate,19.35011420255165
2022-07-11,confirmed_rate,22.085376084510376
2022-07-18,confirmed_rate,21.919708132263647
2022-07-25,confirmed_rate,21.169369858024634
2022-08-01,confirmed_rate,19.924267470117687
2022-08-08,confirmed_rate,17.639559121183247
2022-08-15,confirmed_rate,16.092383558922528
2022-08-22,confirmed_rate,15.337614488605794
2022-08-29,confirmed_rate,14.447024476983476
2022-09-05,confirmed_rate,11.336946460889461
2022-09-12,confirmed_rate,0.0
2022-12-26,confirmed_rate,0.0
2020-01-13,deceased_rate,0.0
2020-01-20,deceased_rate,0.0
2020-01-27,deceased_rate,0.0
2020-02-03,deceased_rate,0.0
2020-02-10,deceased_rate,0.0
2020-02-17,deceased_rate,0.0
2020-02-24,deceased_rate,0.135236664162284
2020-03-02,deceased_rate,0.18098892347788315
2020-03-09,deceased_rate,0.08110165844615842
2020-03-16,deceased_rate,0.11913250148544265
2020-03-23,deceased_rate,0.2437199027597847
2020-03-30,deceased_rate,0.4011004206033739
2020-04-06,deceased_rate,0.43717446339504334
2020-04-13,deceased_rate,0.3498713686907121
2020-04-20,deceased_rate,0.22790988342660834
2020-04-27,deceased_rate,0.17103000779746833
2020-05-04,deceased_rate,0.1304281054487266
2020-05-11,deceased_rate,0.0794248383325953
2020-05-18,deceased_rate,0.052725183282543664
2020-05-25,deceased_rate,0.036083069899579066
2020-06-01,deceased_rate,0.025445153913153308
2020-06-08,deceased_rate,0.02059029792963022
2020-06-15,deceased_rate,0.01427034720576315
2020-06-22,deceased_rate,0.0112391421060548
2020-06-29,deceased_rate,0.008897143027651027
2020-07-06,deceased_rate,0.011108714624360687
2020-07-13,deceased_rate,0.01041926362622498
2020-07-20,deceased_rate,0.011269935431446903
2020-07-27,deceased_rate,0.012774341064270505
2020-08-03,deceased_rate,0.010879898178174526
2020-08-10,deceased_rate,0.010155927511759609
2020-08-17,deceased_rate,0.008608142149698343
2020-08-24,deceased_rate,0.007511496382085484
2020-08-31,deceased_rate,0.006433941639566936
2020-09-07,deceased_rate,0.005204141391170004
2020-09-14,deceased_rate,0.00528957930607834
2020-09-21,deceased_rate,0.004748087952482322
2020-09-28,deceased_rate,0.004118980846840765
2020-10-05,deceased_rate,0.003920884760715872
2020-10-12,deceased_rate,0.0035938204369659775
2020-10-19,deceased_rate,0.003989385201184556
2020-10-26,deceased_rate,0.0037915711041385503
2020-11-02,deceased_rate,0.004420236110234918
